"Competencia o unidades de competencias","Actividades","Recursos","Duración de la actividad","Responsable","Observaciones","Estado de avance","Ajustes"
"Desarrollo Backend","Implementación de Middleware de Autenticación","Express Middleware","3 días","se.carvallo","Validación de token","Completado","Ninguno"
"Desarrollo Backend","Desarrollo de User Controller (Profile)","Express Controllers","1 semana","se.carvallo","CRUD Usuarios","Completado","Ninguno"
"Desarrollo Backend","Desarrollo de Endpoints de Directorio Médico","Express Routes","1 semana","se.carvallo","Listado de doctores","Completado","Ninguno"
"Desarrollo Backend","Implementación de Sistema RBAC (Backend)","Middleware RBAC","1 semana","se.carvallo","Control de permisos","Completado","Ajustada: Roles en constantes"
"Desarrollo Backend","Configuración de Swagger (OpenAPI)","Swagger-UI","3 días","se.carvallo","Documentación API","Completado","Ninguno"
"Desarrollo Backend","Implementación de Health Checks","Express Routes","2 días","se.carvallo","Monitoreo","Completado","Ninguno"
"Base de Datos","Creación de Scripts SQL de Tablas Core (Users/Auth)","SQL","1 semana","se.carvallo","Esquema inicial v2","Completado","Actualizado a v5.1"
"Base de Datos","Modelado de Tablas de Perfil Clínico","SQL","1 semana","se.carvallo","Esquema médico","Completado","Ninguno"
"Base de Datos","Modelado de Tablas para ML (Predicciones)","SQL","3 días","se.carvallo","Historial de análisis","Completado","Añadido en v5.1"
"Base de Datos","Generación de Datos de Prueba (Seeders)","SQL Scripts","3 días","se.carvallo","Usuarios Mock","Completado","Scripts insert_tv_patients"
"Machine Learning","Comprensión del Negocio y Datos (CRISP-DM 1-2)","Jupyter Notebooks","1 semana","WhiteRabbit DS","Análisis exploratorio","Completado","Ninguno"
"Machine Learning","Preparación de Datos y Limpieza (CRISP-DM 3)","Pandas/Numpy","1 semana","WhiteRabbit DS","Preprocessing","Completado","Ninguno"
"Machine Learning","Entrenamiento de Modelos Iniciales (CRISP-DM 4)","Scikit-learn","1 semana","WhiteRabbit DS","Modelos base","En curso","Iterando modelos"
"Machine Learning","Evaluación de Modelos y Ajuste (CRISP-DM 5)","Metrics/Plots","1 semana","WhiteRabbit DS","Matriz de confusión","En curso","Validación de métricas"
"Machine Learning","Desarrollo de API para Modelo (Flask/FastAPI integration)","Python/Node Bridge","1 semana","WhiteRabbit DS","Endpoint predicción","Pendiente","No iniciado"
"Integración","Integración Frontend-Backend (Consumo APIs)","HttpClient","2 semanas","se.carvallo","Conexión total","En curso","Ajustes por CORS resueltos"
"Integración","Integración de Predicciones ML en Frontend","Angular Services","1 semana","se.carvallo","Visualización riesgo","Pendiente","Bloqueado por API ML"
"Calidad y Testing","Ejecución de Pruebas Unitarias Backend","Jest","1 semana","se.carvallo","Coverage services","En curso","Iniciado setup Jest"
"Calidad y Testing","Ejecución de Pruebas E2E Frontend","Playwright","1 semana","se.carvallo","Flujos críticos","En curso","Evidencias Auth generadas"
"Calidad y Testing","Auditoría de Seguridad y Code Review","SonarQube/Manual","1 semana","se.carvallo","Revisión estática","En curso","Eliminación code smells"
"Documentación","Documentación Técnica de API (Final)","Swagger/Markdown","3 días","se.carvallo","Detalle endpoints","En curso","Swagger funcional"
"Documentación","Documentación de Usuario y Manuales","Word/PDF","1 semana","se.carvallo","Guías de uso","Pendiente","Borradores iniciados"
"Documentación","Elaboración de Informe de Proyecto (Memoria)","Word/LaTeX","2 semanas","se.carvallo","Escritura académica","En curso","Capítulos 1 y 2 listos"
"Cierre","Preparación de Presentación Final","PowerPoint","3 días","se.carvallo","Diapositivas defensa","Pendiente","No iniciado"
"Cierre","Despliegue en Entorno de Demostración","Docker/Cloud","3 días","se.carvallo","Deploy final","Pendiente","Configuración local lista"
"Cierre","Lecciones Aprendidas y Retroalimentación","Reunión","1 día","se.carvallo","Cierre formal","Pendiente","No iniciado"
